ID,Nombre,Apellido,Rol,Departamento,Sucursal/Asignación,Teléfono
1,Nombre_1,Apellido_1,Auditor Interno,Petén,Sucursal/Agencia 528,+502 7815-2167
2,Nombre_2,Apellido_2,Administrador,Chiquimula,Sucursal/Agencia 171,+502 3808-9764
3,Nombre_3,Apellido_3,Atención al Cliente,Jutiapa,Sucursal/Agencia 103,+502 4899-1699
4,Nombre_4,Apellido_4,Oficial de Crédito,Quetzaltenango,Sucursal/Agencia 36,+502 3452-1726
5,Nombre_5,Apellido_5,Soporte Técnico,Jutiapa,Sucursal/Agencia 583,+502 8283-6524
6,Nombre_6,Apellido_6,Asesor Financiero,Chiquimula,Sucursal/Agencia 394,+502 6080-1303
7,Nombre_7,Apellido_7,Soporte Técnico,Escuintla,Sucursal/Agencia 228,+502 4119-3721
8,Nombre_8,Apellido_8,Auditor Interno,Chiquimula,Sucursal/Agencia 555,+502 9522-2771
9,Nombre_9,Apellido_9,Atención al Cliente,Sacatepéquez,Sucursal/Agencia 495,+502 4703-7159
10,Nombre_10,Apellido_10,Auditor Interno,Sacatepéquez,Sucursal/Agencia 968,+502 9495-5093
11,Nombre_11,Apellido_11,Cajero,Petén,Sucursal/Agencia 693,+502 1365-3661
12,Nombre_12,Apellido_12,Cumplimiento,Jutiapa,Sucursal/Agencia 995,+502 9557-8528
13,Nombre_13,Apellido_13,Oficial de Crédito,Petén,Sucursal/Agencia 824,+502 3864-9648
14,Nombre_14,Apellido_14,Gerente de Sucursal,Escuintla,Sucursal/Agencia 413,+502 5164-4472
15,Nombre_15,Apellido_15,Ejecutivo de Cuentas,Chiquimula,Sucursal/Agencia 146,+502 6152-1056
16,Nombre_16,Apellido_16,Oficial de Crédito,Chiquimula,Sucursal/Agencia 138,+502 9201-5213
17,Nombre_17,Apellido_17,Cumplimiento,Quetzaltenango,Sucursal/Agencia 178,+502 8498-3109
18,Nombre_18,Apellido_18,Administrador,Jalapa,Sucursal/Agencia 453,+502 1458-7015
19,Nombre_19,Apellido_19,Asesor Financiero,Alta Verapaz,Sucursal/Agencia 661,+502 4241-3020
20,Nombre_20,Apellido_20,Gerente de Sucursal,Quetzaltenango,Sucursal/Agencia 401,+502 9928-5761
21,Nombre_21,Apellido_21,Atención al Cliente,Jalapa,Sucursal/Agencia 265,+502 6398-4666
22,Nombre_22,Apellido_22,Cajero,Alta Verapaz,Sucursal/Agencia 695,+502 8185-4707
23,Nombre_23,Apellido_23,Cumplimiento,Jalapa,Sucursal/Agencia 787,+502 9690-2695
24,Nombre_24,Apellido_24,Ejecutivo de Cuentas,Huehuetenango,Sucursal/Agencia 954,+502 4805-8086
25,Nombre_25,Apellido_25,Atención al Cliente,Petén,Sucursal/Agencia 316,+502 3722-8343
26,Nombre_26,Apellido_26,Cajero,Chiquimula,Sucursal/Agencia 196,+502 6146-1069
27,Nombre_27,Apellido_27,Administrador,Huehuetenango,Sucursal/Agencia 119,+502 1735-4756
28,Nombre_28,Apellido_28,Asesor Financiero,Alta Verapaz,Sucursal/Agencia 431,+502 8437-3005
29,Nombre_29,Apellido_29,Auditor Interno,Quetzaltenango,Sucursal/Agencia 660,+502 5334-7250
30,Nombre_30,Apellido_30,Cumplimiento,Sacatepéquez,Sucursal/Agencia 329,+502 3431-1936
31,Nombre_31,Apellido_31,Asesor Financiero,Quetzaltenango,Sucursal/Agencia 642,+502 9230-8643
32,Nombre_32,Apellido_32,Atención al Cliente,Sacatepéquez,Sucursal/Agencia 706,+502 7220-5307
33,Nombre_33,Apellido_33,Oficial de Crédito,Chiquimula,Sucursal/Agencia 831,+502 7241-3954
34,Nombre_34,Apellido_34,Auditor Interno,Sacatepéquez,Sucursal/Agencia 973,+502 5693-3801
35,Nombre_35,Apellido_35,Atención al Cliente,Sacatepéquez,Sucursal/Agencia 295,+502 8682-7197
36,Nombre_36,Apellido_36,Auditor Interno,Alta Verapaz,Sucursal/Agencia 830,+502 7961-7092
37,Nombre_37,Apellido_37,Ejecutivo de Cuentas,Chiquimula,Sucursal/Agencia 508,+502 6948-1762
38,Nombre_38,Apellido_38,Asesor Financiero,Petén,Sucursal/Agencia 131,+502 4948-5183
39,Nombre_39,Apellido_39,Ejecutivo de Cuentas,Alta Verapaz,Sucursal/Agencia 949,+502 4103-8729
40,Nombre_40,Apellido_40,Cumplimiento,Petén,Sucursal/Agencia 543,+502 5013-6317
41,Nombre_41,Apellido_41,Asesor Financiero,Huehuetenango,Sucursal/Agencia 891,+502 2912-4264
42,Nombre_42,Apellido_42,Asesor Financiero,Petén,Sucursal/Agencia 824,+502 2647-7759
43,Nombre_43,Apellido_43,Cumplimiento,Huehuetenango,Sucursal/Agencia 194,+502 7590-7893
44,Nombre_44,Apellido_44,Cumplimiento,Quetzaltenango,Sucursal/Agencia 663,+502 6790-3409
45,Nombre_45,Apellido_45,Oficial de Crédito,Huehuetenango,Sucursal/Agencia 174,+502 6009-2943
46,Nombre_46,Apellido_46,Cajero,Jutiapa,Sucursal/Agencia 573,+502 4478-7358
47,Nombre_47,Apellido_47,Gerente de Sucursal,Quetzaltenango,Sucursal/Agencia 127,+502 5181-9971
48,Nombre_48,Apellido_48,Administrador,Escuintla,Sucursal/Agencia 818,+502 1419-5894
49,Nombre_49,Apellido_49,Oficial de Crédito,Chiquimula,Sucursal/Agencia 44,+502 5309-7478
50,Nombre_50,Apellido_50,Soporte Técnico,Jalapa,Sucursal/Agencia 525,+502 6856-9059
51,Nombre_51,Apellido_51,Soporte Técnico,Alta Verapaz,Sucursal/Agencia 427,+502 9621-1313
52,Nombre_52,Apellido_52,Gerente de Sucursal,Quetzaltenango,Sucursal/Agencia 281,+502 8823-1269
53,Nombre_53,Apellido_53,Ejecutivo de Cuentas,Guatemala,Sucursal/Agencia 588,+502 7099-2740
54,Nombre_54,Apellido_54,Soporte Técnico,Guatemala,Sucursal/Agencia 712,+502 8259-8495
55,Nombre_55,Apellido_55,Administrador,Huehuetenango,Sucursal/Agencia 648,+502 1648-3731
56,Nombre_56,Apellido_56,Cajero,Chiquimula,Sucursal/Agencia 300,+502 4771-3788
57,Nombre_57,Apellido_57,Cajero,Alta Verapaz,Sucursal/Agencia 122,+502 8056-9439
58,Nombre_58,Apellido_58,Ejecutivo de Cuentas,Guatemala,Sucursal/Agencia 500,+502 3487-9474
59,Nombre_59,Apellido_59,Asesor Financiero,Huehuetenango,Sucursal/Agencia 327,+502 4569-8095
60,Nombre_60,Apellido_60,Gerente de Sucursal,Escuintla,Sucursal/Agencia 34,+502 7268-2893
61,Nombre_61,Apellido_61,Ejecutivo de Cuentas,Escuintla,Sucursal/Agencia 237,+502 9703-5634
62,Nombre_62,Apellido_62,Auditor Interno,Jalapa,Sucursal/Agencia 232,+502 7289-7975
63,Nombre_63,Apellido_63,Atención al Cliente,Jutiapa,Sucursal/Agencia 526,+502 7374-3903
64,Nombre_64,Apellido_64,Asesor Financiero,Chiquimula,Sucursal/Agencia 581,+502 6850-4601
65,Nombre_65,Apellido_65,Cajero,Escuintla,Sucursal/Agencia 966,+502 7673-2196
66,Nombre_66,Apellido_66,Asesor Financiero,Huehuetenango,Sucursal/Agencia 657,+502 5647-9825
67,Nombre_67,Apellido_67,Administrador,Jalapa,Sucursal/Agencia 820,+502 6637-4277
68,Nombre_68,Apellido_68,Cajero,Quetzaltenango,Sucursal/Agencia 651,+502 6659-7207
69,Nombre_69,Apellido_69,Auditor Interno,Quetzaltenango,Sucursal/Agencia 323,+502 5725-6338
70,Nombre_70,Apellido_70,Soporte Técnico,Escuintla,Sucursal/Agencia 309,+502 6912-4331
71,Nombre_71,Apellido_71,Atención al Cliente,Chiquimula,Sucursal/Agencia 26,+502 4628-8163
72,Nombre_72,Apellido_72,Cajero,Guatemala,Sucursal/Agencia 961,+502 7831-7899
73,Nombre_73,Apellido_73,Gerente de Sucursal,Escuintla,Sucursal/Agencia 528,+502 9231-2109
